ID Type Location PackSize FlowDur FlowRate Protocol SourceIP DestIP SourcePort DestPort ConnCount AnomScore ReputScore TrustLevel Attack
4 Edge 4 149 12 123 UDP 192.168.1.22 192.168.1.11 6829 29958 16 0.7 82 96 0
3 Edge 1 84 20 87 UDP 192.168.1.16 192.168.1.19 16952 29042 17 1.8 95 89 0
1 Edge 3 254 18 122 UDP 192.168.1.10 192.168.1.2 16496 35356 22 0 87 89 0
2 Edge 1 390 10 130 UDP 192.168.1.7 192.168.1.23 19938 38521 31 1.2 86 89 0
4 Sensor 3 510 17 133 UDP 192.168.1.18 192.168.1.9 8367 30125 22 1.8 98 82 0
1 Sensor 4 151 17 31 TCP 192.168.1.21 192.168.1.10 30225 29439 23 2.8 31 29 1
3 Edge 2 119 17 58 TCP 192.168.1.16 192.168.1.21 7385 27790 14 0.3 84 86 0
1 Sensor 1 478 19 132 UDP 192.168.1.24 192.168.1.21 7582 29031 11 0.1 84 98 0
1 Sensor 1 178 20 33 TCP 192.168.1.20 192.168.1.13 19628 33596 40 0 80 96 0
1 Sensor 1 416 14 155 UDP 192.168.1.19 192.168.1.19 15806 41532 17 1.6 99 94 0
1 Edge 4 507 1.5 10882 UDP 192.168.1.19 192.168.1.24 22049 28970 39 2.5 34 39 1
3 Sensor 2 394 12 61 UDP 192.168.1.2 192.168.1.22 9777 31069 39 1.3 90 88 0
3 Sensor 4 474 16 47 UDP 192.168.1.11 192.168.1.23 11926 33383 33 1.1 80 95 0
1 Edge 2 188 14 82 UDP 192.168.1.7 192.168.1.6 4421 42332 17 1.9 85 89 0
1 Edge 3 1313 1.7 149 TCP 192.168.1.4 192.168.1.21 6625 44583 30 2.5 34 28 1
2 Sensor 1 164 15 71 TCP 192.168.1.18 192.168.1.17 20293 30024 15 2 85 92 0
2 Sensor 4 391 10 165 UDP 192.168.1.22 192.168.1.19 22751 43063 19 1.2 88 95 0
2 Sensor 3 183 13 194 TCP 192.168.1.7 192.168.1.13 24261 29385 28 1.2 92 97 0
2 Edge 3 369 15 163 TCP 192.168.1.22 192.168.1.5 3479 32317 22 0.1 97 93 0
3 Sensor 4 451 11 51 TCP 192.168.1.6 192.168.1.22 4074 27941 30 0.3 93 83 0
2 Edge 2 394 16 112 TCP 192.168.1.12 192.168.1.10 21602 29781 28 0.5 94 91 0
3 Sensor 4 152 16 20 UDP 192.168.1.11 192.168.1.24 9286 45930 21 0.8 84 86 0
4 Edge 4 70 12 64 UDP 192.168.1.17 192.168.1.6 18851 31369 21 1.6 99 96 0
3 Sensor 4 325 14 198 TCP 192.168.1.18 192.168.1.19 5428 27660 28 0.6 88 94 0
2 Sensor 1 405 20 38 UDP 192.168.1.24 192.168.1.7 18144 47388 10 1.6 80 92 0
4 Edge 4 343 13 60 UDP 192.168.1.4 192.168.1.11 1723 29567 40 1.3 85 87 0
1 Sensor 1 138 19 86 UDP 192.168.1.19 192.168.1.19 20386 35805 39 1.6 95 84 0
1 Sensor 4 148 17 124 UDP 192.168.1.13 192.168.1.19 3195 37425 25 0.3 99 99 0
1 Edge 4 427 12 122 UDP 192.168.1.7 192.168.1.7 11145 37368 15 1.8 98 96 0
3 Edge 2 400 16 87 UDP 192.168.1.13 192.168.1.6 9951 41242 12 0.2 100 91 0
4 Edge 1 347 19 186 UDP 192.168.1.11 192.168.1.3 33902 45368 23 2.5 37 33 1
4 Edge 2 1241 1.1 107 TCP 192.168.1.7 192.168.1.13 23497 29029 29 2.6 33 41 1
3 Sensor 1 255 1.4 17743 UDP 192.168.1.23 192.168.1.9 23543 28620 32 2.7 38 25 1
3 Sensor 1 418 19 20 UDP 192.168.1.8 192.168.1.15 12951 31089 23 1.4 86 94 0
3 Edge 1 136 14 70 UDP 192.168.1.13 192.168.1.4 14863 30360 13 0.7 93 95 0
3 Edge 4 302 11 72 UDP 192.168.1.12 192.168.1.21 6117 35162 40 1.2 92 92 0
2 Edge 3 116 17 181 UDP 192.168.1.23 192.168.1.9 16349 30417 35 1.5 85 95 0
1 Sensor 1 365 15 106 UDP 192.168.1.6 192.168.1.5 22183 26564 22 1.2 95 80 0
3 Sensor 1 341 12 82 TCP 192.168.1.22 192.168.1.6 18143 38230 35 0.4 86 97 0
2 Sensor 1 193 16 70 TCP 192.168.1.3 192.168.1.16 5319 27157 40 1.3 84 100 0
1 Sensor 2 96 14 53 UDP 192.168.1.23 192.168.1.17 13293 37624 11 1.8 91 98 0
1 Edge 1 248 20 154 UDP 192.168.1.7 192.168.1.18 1955 25239 40 0.6 84 89 0
3 Sensor 1 437 14 65 UDP 192.168.1.4 192.168.1.17 10001 31293 19 0.6 92 94 0
1 Sensor 1 507 18 91 TCP 192.168.1.3 192.168.1.18 12326 32169 10 0.1 98 94 0
4 Sensor 2 368 16 137 TCP 192.168.1.9 192.168.1.24 19305 41599 31 0.2 84 81 0
4 Edge 2 191 11 133 TCP 192.168.1.20 192.168.1.3 11919 37221 26 0.1 84 87 0
4 Sensor 1 361 20 192 UDP 192.168.1.21 192.168.1.16 2835 35859 14 1.7 99 80 0
4 Sensor 2 357 12 28 UDP 192.168.1.22 192.168.1.7 15294 14433 26 2.7 34 38 1
4 Sensor 3 217 15 130 UDP 192.168.1.15 192.168.1.18 9242 31059 24 0.6 92 97 0
1 Edge 4 1474 1.3 136 UDP 192.168.1.10 192.168.1.13 5082 48962 39 2.9 37 31 1
1 Edge 2 180 13 44 TCP 192.168.1.23 192.168.1.2 9548 34866 32 0.4 95 80 0
3 Edge 2 332 19 109 TCP 192.168.1.16 192.168.1.17 20697 35942 13 0.5 98 85 0
1 Sensor 4 204 10 41 UDP 192.168.1.22 192.168.1.18 18114 44405 18 1.8 93 100 0
3 Edge 4 152 10 91 TCP 192.168.1.9 192.168.1.14 34311 47401 33 2.9 39 26 1
3 Edge 3 196 13 197 TCP 192.168.1.8 192.168.1.14 19129 45773 22 1.8 94 96 0
4 Edge 3 159 1.4 15317 UDP 192.168.1.6 192.168.1.2 19983 32424 19 2.5 39 25 1
3 Edge 4 159 10 28 TCP 192.168.1.11 192.168.1.7 8922 37719 25 0.5 93 95 0
2 Edge 2 70 12 192 TCP 192.168.1.11 192.168.1.19 5218 47590 23 1.9 87 92 0
4 Sensor 4 260 12 14 TCP 192.168.1.7 192.168.1.22 15968 38413 38 1.9 81 94 0
2 Edge 2 209 16 162 UDP 192.168.1.24 192.168.1.9 21106 33640 24 1.7 88 92 0
2 Sensor 4 511 12 74 TCP 192.168.1.7 192.168.1.13 10182 31425 31 1.9 87 99 0
3 Sensor 4 397 13 165 UDP 192.168.1.6 192.168.1.17 17280 46065 11 0 93 86 0
2 Sensor 3 477 18 172 TCP 192.168.1.24 192.168.1.10 3137 28905 26 0.7 89 91 0
2 Edge 2 457 12 30 UDP 192.168.1.22 192.168.1.7 12469 32555 23 0.4 82 100 0
1 Sensor 4 111 14 25 UDP 192.168.1.20 192.168.1.13 3995 41330 13 0.5 88 90 0
3 Edge 1 1297 1.9 132 TCP 192.168.1.20 192.168.1.21 14549 48423 39 3 34 34 1
1 Edge 1 372 13 181 TCP 192.168.1.2 192.168.1.4 22057 25450 21 1.7 99 91 0
2 Sensor 1 387 10 88 TCP 192.168.1.5 192.168.1.12 4019 48137 38 1.4 88 99 0
1 Edge 1 313 17 173 UDP 192.168.1.19 192.168.1.2 3609 26211 28 1.9 99 82 0
4 Edge 1 305 14 154 UDP 192.168.1.17 192.168.1.11 12388 39079 30 1.7 81 88 0
3 Edge 1 89 19 25 TCP 192.168.1.18 192.168.1.22 5954 38636 27 1.1 87 99 0
1 Edge 1 379 17 183 UDP 192.168.1.20 192.168.1.2 11013 25622 10 0.1 84 89 0
3 Edge 1 355 12 24 UDP 192.168.1.18 192.168.1.17 14399 27798 35 1.5 88 90 0
1 Sensor 3 119 10 153 UDP 192.168.1.19 192.168.1.12 3594 37530 37 1.2 80 93 0
4 Sensor 1 301 13 107 TCP 192.168.1.22 192.168.1.20 24700 48418 36 0.3 97 96 0
4 Sensor 1 132 13 184 UDP 192.168.1.10 192.168.1.22 22078 26851 16 0.1 84 86 0
2 Edge 3 473 2 17143 UDP 192.168.1.5 192.168.1.4 28287 39617 30 2.6 33 31 1
4 Sensor 2 327 11 135 UDP 192.168.1.16 192.168.1.13 21311 46239 35 0.9 81 96 0
4 Edge 2 233 12 66 TCP 192.168.1.12 192.168.1.2 4493 5360 31 2.8 37 39 1
3 Sensor 3 413 14 126 TCP 192.168.1.16 192.168.1.23 10962 29820 31 0.2 85 93 0
1 Edge 2 447 12 141 UDP 192.168.1.24 192.168.1.22 11158 32431 31 1.2 97 93 0
3 Edge 2 1097 1.2 184 UDP 192.168.1.4 192.168.1.7 10780 43540 16 3 30 33 1
2 Edge 4 210 18 132 TCP 192.168.1.14 192.168.1.17 18357 32952 35 0.5 82 100 0
3 Sensor 2 193 16 40 TCP 192.168.1.19 192.168.1.21 13380 36876 27 0.3 80 93 0
4 Sensor 1 230 20 117 UDP 192.168.1.11 192.168.1.2 3681 27157 22 1.8 95 92 0
1 Sensor 3 461 17 61 UDP 192.168.1.11 192.168.1.6 21257 43228 24 1.4 81 95 0
1 Edge 2 376 15 13 TCP 192.168.1.3 192.168.1.16 24517 48335 29 1.6 89 100 0
2 Edge 4 372 17 47 TCP 192.168.1.9 192.168.1.5 18376 26058 24 1.2 99 91 0
2 Edge 2 64 11 149 UDP 192.168.1.21 192.168.1.5 21718 35790 22 1.3 88 97 0
1 Sensor 4 275 10 53 UDP 192.168.1.6 192.168.1.11 11536 31148 10 0.7 85 88 0
4 Edge 3 215 13 164 UDP 192.168.1.12 192.168.1.16 24246 26404 35 0.1 94 82 0
2 Edge 2 276 12 168 UDP 192.168.1.23 192.168.1.12 14096 31591 13 0.2 89 85 0
4 Sensor 3 104 19 36 UDP 192.168.1.17 192.168.1.19 16842 43934 33 1.3 92 81 0
2 Sensor 3 190 14 153 UDP 192.168.1.12 192.168.1.17 10302 26146 26 1.3 100 90 0
3 Sensor 1 1011 1.1 128 TCP 192.168.1.7 192.168.1.6 36373 30196 33 2.5 38 30 1
1 Sensor 4 226 15 174 UDP 192.168.1.5 192.168.1.5 24770 29552 21 0.2 96 94 0
4 Edge 3 204 11 22 UDP 192.168.1.17 192.168.1.7 7304 29576 20 1 90 93 0
3 Edge 1 153 19 102 UDP 192.168.1.3 192.168.1.17 15115 42115 16 1.5 82 94 0
2 Sensor 3 198 20 25 TCP 192.168.1.18 192.168.1.12 3467 38175 24 0.3 97 86 0
4 Edge 1 286 20 81 TCP 192.168.1.4 192.168.1.4 10705 34571 38 0.8 90 85 0
2 Edge 3 489 1 10799 UDP 192.168.1.13 192.168.1.3 21517 31926 31 2.7 37 38 1
2 Edge 2 122 11 197 UDP 192.168.1.16 192.168.1.14 9620 45367 15 1.2 97 90 0
2 Edge 3 441 20 169 UDP 192.168.1.14 192.168.1.13 6999 46591 40 0.5 91 83 0
3 Edge 2 101 11 78 UDP 192.168.1.23 192.168.1.23 24352 38163 17 0.1 88 80 0
1 Sensor 2 411 16 170 UDP 192.168.1.17 192.168.1.12 15857 28638 21 0.8 83 85 0
2 Sensor 3 389 12 150 TCP 192.168.1.13 192.168.1.22 17478 47044 32 1.9 90 81 0
4 Edge 3 450 17 86 TCP 192.168.1.15 192.168.1.16 23200 32758 12 1.6 97 98 0
1 Sensor 2 199 16 150 UDP 192.168.1.11 192.168.1.11 2298 22353 23 3 37 31 1
2 Sensor 2 311 11 42 TCP 192.168.1.8 192.168.1.22 8608 34435 22 0.7 99 88 0
3 Sensor 2 378 17 72 UDP 192.168.1.22 192.168.1.12 19851 33755 14 1.4 83 92 0
4 Edge 3 1221 1 74 UDP 192.168.1.11 192.168.1.12 8183 31721 13 2.7 35 32 1
4 Sensor 1 497 15 167 UDP 192.168.1.19 192.168.1.16 22069 28834 31 0.7 85 87 0
4 Sensor 1 156 12 173 UDP 192.168.1.12 192.168.1.2 19047 39701 14 1.3 81 95 0
3 Edge 3 298 12 158 UDP 192.168.1.12 192.168.1.18 8132 39227 10 2 81 95 0
1 Edge 3 378 16 46 TCP 192.168.1.21 192.168.1.14 21444 28756 20 2 99 97 0
3 Sensor 4 356 12 76 TCP 192.168.1.14 192.168.1.21 38773 39656 29 2.8 34 44 1
2 Sensor 3 428 13 120 UDP 192.168.1.19 192.168.1.17 7766 43488 31 0.8 91 97 0
3 Sensor 2 94 12 15 TCP 192.168.1.7 192.168.1.14 5993 28453 33 1.7 87 90 0
1 Edge 2 452 10 43 TCP 192.168.1.3 192.168.1.15 7046 26153 33 1.7 89 94 0
2 Sensor 4 286 19 69 TCP 192.168.1.15 192.168.1.6 21857 27636 14 1 96 91 0
1 Edge 4 440 18 179 TCP 192.168.1.2 192.168.1.12 11318 44212 319 2.6 37 38 1
2 Sensor 2 109 14 16 UDP 192.168.1.18 192.168.1.18 8121 33685 36 0.4 97 96 0
3 Edge 3 512 17 60 UDP 192.168.1.16 192.168.1.20 11277 32888 36 0.4 80 84 0
3 Sensor 2 496 2 12362 TCP 192.168.1.20 192.168.1.7 23803 46797 36 2.6 39 28 1
4 Sensor 2 144 18 47 UDP 192.168.1.16 192.168.1.15 9268 37157 29 0 95 90 0
2 Edge 1 426 17 34 UDP 192.168.1.5 192.168.1.5 20949 36703 27 0.5 100 85 0
1 Sensor 2 127 16 157 UDP 192.168.1.4 192.168.1.7 23739 34359 33 0.8 88 92 0
3 Sensor 4 307 13 31 UDP 192.168.1.23 192.168.1.23 21941 30291 24 1.3 80 99 0
3 Edge 4 454 20 26 UDP 192.168.1.15 192.168.1.8 18147 43561 24 1.3 80 84 0
4 Edge 4 472 14 196 UDP 192.168.1.5 192.168.1.8 13396 30620 32 0.4 80 85 0
2 Edge 1 392 17 27 UDP 192.168.1.5 192.168.1.10 1179 40663 20 1.9 97 100 0
2 Edge 2 280 18 81 TCP 192.168.1.21 192.168.1.2 19222 37853 29 1.2 94 90 0
2 Sensor 3 324 16 185 UDP 192.168.1.4 192.168.1.8 18922 2525 13 2.5 36 32 1
3 Sensor 1 378 16 36 UDP 192.168.1.18 192.168.1.12 4069 38316 32 1.5 92 94 0
3 Edge 1 336 14 46 UDP 192.168.1.24 192.168.1.2 4943 43685 17 1.7 96 95 0
2 Edge 1 229 20 53 UDP 192.168.1.9 192.168.1.17 23194 40401 40 0.7 98 81 0
1 Edge 4 217 20 103 UDP 192.168.1.13 192.168.1.10 2118 45961 34 1.7 82 80 0
3 Sensor 3 149 13 113 UDP 192.168.1.58 192.168.1.3 38128 44657 16 2.7 35 45 1
3 Sensor 1 1296 1.7 170 TCP 192.168.1.62 192.168.1.18 12324 48554 38 2.8 35 39 1
1 Sensor 4 320 19 186 TCP 192.168.1.20 192.168.1.3 18115 37747 36 1.6 84 92 0
2 Sensor 2 340 14 31 UDP 192.168.1.22 192.168.1.21 20844 45342 35 0.5 81 93 0
2 Edge 4 162 13 41 UDP 192.168.1.18 192.168.1.22 15398 26719 31 0.1 98 97 0
2 Sensor 2 303 11 178 UDP 192.168.1.16 192.168.1.15 12482 25650 18 1.7 91 92 0
4 Sensor 3 202 19 143 TCP 192.168.1.4 192.168.1.13 6844 46824 10 0.6 88 88 0
4 Sensor 3 420 14 68 TCP 192.168.1.9 192.168.1.18 15335 45448 37 0.5 98 96 0
1 Edge 2 170 19 180 TCP 192.168.1.5 192.168.1.15 24960 26458 16 1.6 84 93 0
3 Sensor 1 374 20 128 UDP 192.168.1.6 192.168.1.23 17227 29612 21 1.7 82 88 0
1 Sensor 2 284 20 188 UDP 192.168.1.4 192.168.1.14 14863 46281 30 1.1 83 99 0
4 Sensor 4 152 18 117 UDP 192.168.1.11 192.168.1.14 4628 45385 29 1.3 91 92 0
1 Edge 4 378 17 39 UDP 192.168.1.20 192.168.1.19 19822 45719 11 1.9 95 96 0
4 Edge 1 497 20 191 TCP 192.168.1.3 192.168.1.12 4142 28020 15 1.8 99 93 0
2 Edge 1 436 10 153 TCP 192.168.1.9 192.168.1.19 1187 34231 18 0.4 91 92 0
1 Sensor 1 408 15 105 UDP 192.168.1.23 192.168.1.8 5737 28866 28 1.1 91 97 0
4 Edge 3 71 14 36 TCP 192.168.1.7 192.168.1.13 12224 48744 30 0.7 95 85 0
2 Edge 1 219 15 108 TCP 192.168.1.4 192.168.1.17 22316 39253 36 1.8 100 82 0
4 Edge 3 353 10 64 UDP 192.168.1.3 192.168.1.24 11794 20125 16 2.7 37 34 1
1 Edge 4 232 11 31 TCP 192.168.1.5 192.168.1.12 5103 48568 21 0.6 98 95 0
3 Edge 4 481 17 121 TCP 192.168.1.16 192.168.1.16 15756 32150 39 1.4 98 98 0
4 Sensor 1 354 15 171 TCP 192.168.1.7 192.168.1.8 39954 41165 10 2.7 33 43 1
2 Edge 1 143 12 87 UDP 192.168.1.4 192.168.1.23 20402 34771 40 2 90 100 0
2 Sensor 4 259 19 41 TCP 192.168.1.10 192.168.1.16 2966 46017 36 0.4 82 85 0
4 Sensor 2 1040 1.6 19 UDP 192.168.1.26 192.168.1.2 5152 46458 26 2.6 35 35 1
1 Sensor 3 85 12 97 TCP 192.168.1.16 192.168.1.23 20715 48096 38 0.9 93 83 0
4 Edge 2 279 20 92 UDP 192.168.1.7 192.168.1.2 13927 40082 21 0.5 88 82 0
3 Sensor 3 432 16 118 UDP 192.168.1.18 192.168.1.24 19372 49070 36 1.3 81 98 0
3 Edge 3 162 15 14 TCP 192.168.1.19 192.168.1.18 14112 26173 18 0.5 89 94 0
3 Edge 4 297 16 120 TCP 192.168.1.16 192.168.1.11 11912 33322 38 0.3 87 96 0
2 Sensor 1 192 10 135 TCP 192.168.1.4 192.168.1.2 17449 34094 39 1.4 88 96 0
3 Edge 4 208 15 119 UDP 192.168.1.17 192.168.1.10 2069 36300 11 1 97 89 0
4 Edge 2 295 13 130 UDP 192.168.1.10 192.168.1.18 4034 31788 19 1.7 89 84 0
2 Edge 2 273 13 43 TCP 192.168.1.3 192.168.1.14 24942 25493 40 1.8 90 88 0
4 Edge 4 484 16 23 UDP 192.168.1.24 192.168.1.20 19377 34063 22 1.3 86 93 0
4 Edge 2 234 13 131 UDP 192.168.1.10 192.168.1.12 7847 41337 22 0.4 92 98 0
2 Sensor 1 457 15 28 UDP 192.168.1.13 192.168.1.24 15217 42554 28 1.6 81 81 0
1 Sensor 3 474 14 91 TCP 192.168.1.17 192.168.1.6 21637 32193 25 0.5 86 81 0
4 Sensor 4 209 17 41 UDP 192.168.1.10 192.168.1.11 23158 35313 25 0.3 89 86 0
1 Edge 1 208 16 133 UDP 192.168.1.6 192.168.1.2 7628 46715 29 1.9 96 98 0
1 Sensor 3 153 20 56 UDP 192.168.1.24 192.168.1.20 11251 37775 21 0.7 85 92 0
1 Edge 4 113 20 197 TCP 192.168.1.16 192.168.1.18 20401 33794 35 1.1 83 84 0
3 Sensor 2 260 20 106 TCP 192.168.1.2 192.168.1.19 19365 25675 36 1.4 93 86 0
1 Edge 4 487 17 26 UDP 192.168.1.15 192.168.1.11 15983 40687 11 0.7 99 88 0
3 Edge 4 244 16 178 UDP 192.168.1.17 192.168.1.3 18281 35493 13 1.1 94 88 0
4 Edge 3 121 12 121 TCP 192.168.1.12 192.168.1.13 3842 28597 376 2.7 35 32 1
1 Sensor 3 412 12 28 TCP 192.168.1.19 192.168.1.16 15577 38109 35 0.9 82 81 0
2 Sensor 1 285 11 82 UDP 192.168.1.3 192.168.1.19 48452 27131 25 2.9 40 43 1
2 Sensor 1 1140 1.6 121 UDP 192.168.1.39 192.168.1.10 16283 40822 22 2.7 39 40 1
2 Edge 3 417 20 171 TCP 192.168.1.12 192.168.1.14 16653 43004 30 0.1 89 88 0
1 Edge 3 463 18 106 TCP 192.168.1.8 192.168.1.19 8409 39865 30 1.2 85 89 0
3 Edge 2 260 17 10 UDP 192.168.1.7 192.168.1.3 24059 36074 18 0.6 93 97 0
2 Sensor 4 185 20 54 UDP 192.168.1.7 192.168.1.3 2299 37482 25 0.4 98 100 0
1 Edge 4 230 18 42 UDP 192.168.1.23 192.168.1.19 20637 27512 13 0.6 100 91 0
4 Edge 2 127 13 57 UDP 192.168.1.9 192.168.1.5 9791 44494 10 1.4 87 90 0
3 Sensor 2 372 20 99 UDP 192.168.1.15 192.168.1.17 23155 34017 22 1.4 80 84 0
3 Sensor 1 105 12 83 UDP 192.168.1.17 192.168.1.17 17437 35016 38 0.4 85 100 0
1 Sensor 4 102 16 176 TCP 192.168.1.5 192.168.1.6 4647 36581 39 1.4 98 85 0
2 Sensor 3 338 19 99 UDP 192.168.1.16 192.168.1.15 12264 37856 20 0.2 80 84 0
3 Edge 1 272 17 132 UDP 192.168.1.19 192.168.1.10 19367 44979 39 0.1 81 94 0
3 Edge 3 396 11 39 UDP 192.168.1.23 192.168.1.10 1300 27760 18 1 87 94 0
2 Sensor 2 447 15 98 TCP 192.168.1.14 192.168.1.14 24419 46636 16 1.9 91 97 0
1 Edge 3 462 14 98 TCP 192.168.1.14 192.168.1.13 7581 38093 27 1.8 95 81 0
1 Edge 1 389 16 142 UDP 192.168.1.8 192.168.1.20 19834 26333 34 1.5 95 84 0
3 Edge 4 96 11 187 UDP 192.168.1.5 192.168.1.15 17600 34721 40 0.4 98 84 0
4 Edge 3 154 16 160 UDP 192.168.1.5 192.168.1.18 10667 47085 15 0.9 93 98 0
2 Edge 4 326 16 149 UDP 192.168.1.12 192.168.1.7 5369 30318 23 1.1 80 94 0
3 Sensor 3 137 12 101 UDP 192.168.1.20 192.168.1.3 2595 42936 35 0 90 96 0
2 Sensor 1 275 10 190 TCP 192.168.1.23 192.168.1.9 22920 35693 36 0 98 94 0
1 Edge 4 297 17 199 TCP 192.168.1.9 192.168.1.21 14647 26915 20 0 93 94 0
1 Sensor 1 272 19 18 UDP 192.168.1.11 192.168.1.20 2855 38582 16 1.9 98 93 0
1 Sensor 3 126 18 31 TCP 192.168.1.23 192.168.1.11 2618 32344 17 0.1 99 100 0
3 Sensor 1 1358 1 143 UDP 192.168.1.23 192.168.1.23 14835 37014 16 2.5 32 30 1
2 Edge 4 144 19 55 UDP 192.168.1.7 192.168.1.8 17495 44319 13 1.6 84 85 0
3 Sensor 4 216 10 177 UDP 192.168.1.2 192.168.1.2 16108 41124 34 1.3 92 100 0
1 Sensor 4 350 18 113 UDP 192.168.1.16 192.168.1.19 19765 34101 38 0.2 90 87 0
